district,age_group,child_population,program_count,available_count,closed_count,programs_per_1000_children,category_diversity,availability_share,low_cost_share,indoor_share,local_alt_count,neighbor_alt_count,paid_share,reservation_dependency,age_restriction_intensity,rule_complexity,count_scaled,per1000_scaled,diversity_scaled,local_alt_scaled,neighbor_alt_scaled,choice_index,planb_index,barrier_index,district_type
강북구,7-9세,4833,119,47,72,24.622387750879373,26,0.3949579831932773,0.9831932773109243,0.2689075630252101,47,162,0.12605042016806722,1.0,0.05042016806722689,0.6121848739495793,0.05269607843137255,0.0829817365091425,0.27586206896551724,0.1487603305785124,0.1884498480243161,28.765002739455525,31.49276359525456,45.09453781512603,D 선택 부족 / 플랜B 부족
도봉구,7-9세,11180,142,76,54,12.701252236135957,27,0.5352112676056338,0.9929577464788732,0.5704225352112676,76,100,0.007042253521126761,1.0,0.007042253521126761,0.7985915492957746,0.08088235294117647,0.0218408026985927,0.3103448275862069,0.3884297520661157,0.0,33.469163281352365,38.84880528540293,45.316901408450704,B 선택 풍부 / 플랜B 부족
노원구,7-9세,5205,170,53,106,32.660902977905856,23,0.31176470588235294,1.0,0.47058823529411764,53,162,0.011764705882352941,1.0,0.041176470588235294,0.5947058823529412,0.11519607843137254,0.12420954797247873,0.1724137931034483,0.19834710743801653,0.1884498480243161,31.34980962070718,33.94548421043138,41.044117647058826,D 선택 부족 / 플랜B 부족
은평구,7-9세,3801,177,42,130,46.56669297553275,20,0.23728813559322035,1.0,0.3559322033898305,42,192,0.0,1.0,0.022598870056497175,0.44915254237288127,0.12377450980392157,0.1955293467262815,0.06896551724137931,0.10743801652892562,0.2796352583586626,29.590508377094476,30.345016829997952,36.68079096045197,D 선택 부족 / 플랜B 부족
서대문구,7-9세,10296,147,42,103,14.277389277389277,20,0.2857142857142857,0.9863945578231292,0.061224489795918366,42,324,0.04081632653061224,1.0,0.02040816326530612,0.6374149659863945,0.08700980392156862,0.029924469761721393,0.06896551724137931,0.10743801652892562,0.6808510638297872,22.508572393951155,37.224253198183895,42.56802721088435,D 선택 부족 / 플랜B 부족
마포구,7-9세,6773,379,150,211,55.95747822235346,47,0.39577836411609496,1.0,0.38786279683377306,150,289,0.002638522427440633,1.0,0.11081794195250659,0.7170184696569921,0.3713235294117647,0.24369265956630928,1.0,1.0,0.574468085106383,53.849970683177816,83.24033009599731,45.22097625329815,A 선택 풍부 / 플랜B 풍부
양천구,7-9세,8990,137,74,60,15.239154616240267,25,0.5401459854014599,1.0,0.30656934306569344,74,212,0.014598540145985401,1.0,0.021897810218978103,0.8102189781021897,0.07475490196078431,0.03485715682422854,0.2413793103448276,0.371900826446281,0.3404255319148936,30.027633135152048,43.213550309321526,46.13138686131387,C 선택 부족 / 플랜B 보완 가능
강서구,7-9세,11965,156,75,73,13.038027580442959,27,0.4807692307692308,1.0,0.47435897435897434,75,303,0.00641025641025641,1.0,0.019230769230769232,0.85,0.09803921568627451,0.023568050829430066,0.3103448275862069,0.38016528925619836,0.6170212765957447,32.61899195225199,53.13007919624339,46.82692307692308,A 선택 풍부 / 플랜B 풍부
구로구,7-9세,7962,200,79,114,25.119316754584275,27,0.395,1.0,0.235,79,239,0.025,1.0,0.075,0.675,0.15196078431372548,0.08553037822926123,0.3103448275862069,0.4132231404958678,0.42249240121580545,32.22460350779009,47.03029236154361,44.125,A 선택 풍부 / 플랜B 풍부
금천구,7-9세,4513,89,32,55,19.720806558830045,27,0.3595505617977528,1.0,0.3707865168539326,32,110,0.02247191011235955,1.0,0.0,0.5837078651685391,0.015931372549019607,0.05784258337566065,0.3103448275862069,0.024793388429752067,0.030395136778115502,28.59333604429376,24.99068459682664,40.26685393258427,D 선택 부족 / 플랜B 부족
