district,week,program_count,available_count,low_cost_share,indoor_share,category_diversity,age_group,availability_share,count_scaled,diversity_scaled,choice_index
광진구,35,0,0,0.0,0.0,0,10-12세,0.0,0.0,0.0,0.0
광진구,36,3,0,1.0,0.3333333333333333,2,10-12세,0.0,0.06,0.13333333333333333,23.099999999999998
광진구,37,2,0,1.0,0.5,2,10-12세,0.0,0.04,0.13333333333333333,24.066666666666663
광진구,38,4,0,1.0,0.0,3,10-12세,0.0,0.08,0.2,21.8
광진구,39,3,0,1.0,0.3333333333333333,2,10-12세,0.0,0.06,0.13333333333333333,23.099999999999998
광진구,40,2,0,1.0,0.0,2,10-12세,0.0,0.04,0.13333333333333333,19.066666666666666
광진구,41,1,0,1.0,0.0,1,10-12세,0.0,0.02,0.06666666666666667,17.033333333333335
광진구,42,3,0,1.0,0.0,1,10-12세,0.0,0.06,0.06666666666666667,18.433333333333334
광진구,43,3,0,1.0,0.0,2,10-12세,0.0,0.06,0.13333333333333333,19.766666666666666
광진구,44,1,0,1.0,0.0,1,10-12세,0.0,0.02,0.06666666666666667,17.033333333333335
광진구,45,2,1,1.0,0.5,2,10-12세,0.5,0.04,0.13333333333333333,34.06666666666667
광진구,46,2,2,1.0,0.5,1,10-12세,1.0,0.04,0.06666666666666667,42.73333333333333
광진구,47,3,0,1.0,0.0,2,10-12세,0.0,0.06,0.13333333333333333,19.766666666666666
광진구,48,1,0,1.0,1.0,1,10-12세,0.0,0.02,0.06666666666666667,27.03333333333333
광진구,49,16,13,1.0,0.0,6,10-12세,0.8125,0.32,0.4,50.449999999999996
광진구,50,1,0,1.0,1.0,1,10-12세,0.0,0.02,0.06666666666666667,27.03333333333333
광진구,51,5,3,1.0,0.0,3,10-12세,0.6,0.1,0.2,34.5
광진구,52,17,9,1.0,0.058823529411764705,3,10-12세,0.5294117647058824,0.34,0.2,42.076470588235296
동대문구,1,1,1,1.0,0.0,1,10-12세,1.0,0.02,0.06666666666666667,37.03333333333333
동대문구,2,0,0,0.0,0.0,0,10-12세,0.0,0.0,0.0,0.0
동대문구,3,1,0,1.0,1.0,1,10-12세,0.0,0.02,0.06666666666666667,27.03333333333333
동대문구,4,0,0,0.0,0.0,0,10-12세,0.0,0.0,0.0,0.0
